unit,scenario_id,type,sensor,param,timing_p,tau_s,T_u,t_exit,pos_in_life,yhat_clean_at_exit,delta_at_exit,delta_min_after20,degraded_len_before,reentry_within_20,reentry_gap,is_final_exit,pattern
9,bias_T50_a0.5_neg_p0.2,bias,T50,0.5,0.2,84,201,163,0.8109452736318408,53.524635314941406,4.660663604736328,0.030881881713867188,48,False,,True,C
9,bias_T50_a0.5_neg_p0.4,bias,T50,0.5,0.4,113,201,163,0.8109452736318408,53.524635314941406,4.660663604736328,0.030881881713867188,42,False,,True,C
9,bias_T50_a0.5_neg_p0.6,bias,T50,0.5,0.6,143,201,166,0.8258706467661692,42.83949661254883,4.106548309326172,0.10256767272949219,11,False,,True,C
9,bias_T50_a0.5_pos_p0.2,bias,T50,0.5,0.2,84,201,154,0.7661691542288557,68.38313293457031,4.422092437744141,0.05319976806640625,53,False,,True,C
9,bias_T50_a0.5_pos_p0.4,bias,T50,0.5,0.4,113,201,156,0.7761194029850746,64.79853057861328,3.8107833862304688,0.013957977294921875,29,False,,True,C
9,bias_T50_a0.75_neg_p0.2,bias,T50,0.75,0.2,84,201,164,0.8159203980099502,44.8278694152832,3.8129730224609375,0.041408538818359375,49,False,,True,C
9,bias_T50_a0.75_neg_p0.4,bias,T50,0.75,0.4,113,201,164,0.8159203980099502,44.8278694152832,3.8129730224609375,0.041408538818359375,43,False,,True,C
9,bias_T50_a0.75_neg_p0.6,bias,T50,0.75,0.6,143,201,167,0.8308457711442786,41.77626419067383,1.5724029541015625,0.22616958618164062,17,False,,True,C
9,bias_T50_a0.75_pos_p0.2,bias,T50,0.75,0.2,84,201,158,0.7860696517412935,60.56068420410156,3.0777931213378906,0.13503265380859375,62,False,,True,C
9,bias_T50_a0.75_pos_p0.4,bias,T50,0.75,0.4,113,201,158,0.7860696517412935,60.56068420410156,3.0777931213378906,0.13503265380859375,40,False,,True,C
9,bias_T50_a0.75_pos_p0.6,bias,T50,0.75,0.6,143,201,164,0.8159203980099502,44.8278694152832,4.078407287597656,0.08742523193359375,13,False,,True,C
9,bias_T50_a1.0_neg_p0.2,bias,T50,1.0,0.2,84,201,166,0.8258706467661692,42.83949661254883,3.73822021484375,0.08626747131347656,56,False,,True,C
9,bias_T50_a1.0_neg_p0.4,bias,T50,1.0,0.4,113,201,166,0.8258706467661692,42.83949661254883,3.73822021484375,0.08626747131347656,48,False,,True,C
9,bias_T50_a1.0_neg_p0.6,bias,T50,1.0,0.6,143,201,167,0.8308457711442786,41.77626419067383,1.8792648315429688,0.4204864501953125,18,False,,True,C
9,bias_T50_a1.0_pos_p0.2,bias,T50,1.0,0.2,84,201,162,0.8059701492537313,56.4527702331543,2.6512222290039062,0.002567291259765625,68,False,,True,C
9,bias_T50_a1.0_pos_p0.4,bias,T50,1.0,0.4,113,201,162,0.8059701492537313,56.4527702331543,2.6512222290039062,0.002567291259765625,44,False,,True,C
9,bias_T50_a1.0_pos_p0.6,bias,T50,1.0,0.6,143,201,168,0.835820895522388,39.664859771728516,4.046245574951172,0.11554908752441406,18,False,,True,C
9,gain_T24_a1.0_neg_p0.2,gain,T24,1.0,0.2,84,201,138,0.6865671641791045,74.32481384277344,1.305877685546875,1.305877685546875,43,False,,True,C
9,gain_T24_a1.0_neg_p0.4,gain,T24,1.0,0.4,113,201,152,0.7562189054726368,68.87545776367188,3.6296844482421875,0.7345657348632812,34,False,,True,C
9,gain_T24_a1.0_pos_p0.2,gain,T24,1.0,0.2,84,201,138,0.6865671641791045,74.32481384277344,1.805694580078125,0.31203460693359375,20,False,,True,C
9,gain_T24_a1.0_pos_p0.4,gain,T24,1.0,0.4,113,201,142,0.7064676616915423,76.11559295654297,4.530670166015625,0.5050277709960938,24,False,,True,C
9,gain_T24_a1.5_neg_p0.2,gain,T24,1.5,0.2,84,201,138,0.6865671641791045,74.32481384277344,1.6475830078125,1.6475830078125,50,False,,True,C
9,gain_T24_a1.5_neg_p0.4,gain,T24,1.5,0.4,113,201,162,0.8059701492537313,56.4527702331543,3.1701202392578125,0.1407184600830078,45,False,,True,C
